ST_NM,ST_CEN_CD,DT_CEN_CD,DISTRICT
Gujarat,24,15,Anand
Andhra Pradesh,28,22,Anantapur
Jammu and Kashmir,01,06,Anantnag
Orissa,21,15,Anugul
Bihar,10,07,Araria
Tamil Nadu,33,17,Ariyalur
Uttar Pradesh,09,32,Auraiya
Bihar,10,34,Aurangabad
Maharashtra,27,19,Aurangabad
Uttar Pradesh,09,61,Azamgarh
Uttar Pradesh,09,19,Budaun
Jammu and Kashmir,01,04,Badgam
Karnataka,29,02,Bagalkot
Uttarakhand,05,08,Bageshwar
Andhra Pradesh,28,01,Adilabad
Uttar Pradesh,09,15,Agra
Gujarat,24,07,Ahmadabad
Maharashtra,27,26,Ahmadnagar
Mizoram,15,03,Aizawl
Rajasthan,08,21,Ajmer
Maharashtra,27,05,Akola
Kerala,32,11,Alappuzha
Uttar Pradesh,09,12,Aligarh
Uttar Pradesh,09,45,Allahabad
Uttarakhand,05,09,Almora
Haryana,06,02,Ambala
Uttar Pradesh,09,48,Ambedkar Nagar
Maharashtra,27,07,Amravati
Gujarat,24,13,Amreli
Punjab,03,02,Amritsar
Karnataka,29,20,Bangalore
Bihar,10,23,Banka
Rajasthan,08,28,Banswara
Jammu and Kashmir,01,02,Baramula
West Bengal,19,09,Barddhaman
Uttar Pradesh,09,20,Bareilly
Rajasthan,08,17,Barmer
Assam,18,05,Barpeta
Orissa,21,09,Bhadrak
Bihar,10,22,Bhagalpur
Gujarat,24,14,Bhavnagar
Rajasthan,08,24,Bhilwara
Madhya Pradesh,23,03,Bhind
Madhya Pradesh,23,32,Bhopal
Maharashtra,27,27,Bid
Karnataka,29,05,Bidar
Karnataka,29,03,Bijapur
Uttar Pradesh,09,03,Bijnor
Rajasthan,08,03,Bikaner
Himachal Pradesh,02,08,Bilaspur
West Bengal,19,08,Birbhum
Manipur,14,04,Bishnupur
Jharkhand,20,13,Bokaro
Punjab,03,11,Firozpur
Madhya Pradesh,23,28,Barwani
Chhattisgarh,22,15,Bastar
Uttar Pradesh,09,55,Basti
Punjab,03,14,Bathinda
Orissa,21,22,Baudh
